Native,AudioURL
ahe,https://arrernte-angkentye.online/ecall/audio/ahe.mp3
ahele,https://arrernte-angkentye.online/ecall/audio/ahele.mp3
ahe-akngerre,https://arrernte-angkentye.online/ecall/audio/ahe-akngerre.mp3
ahele-irreme,https://arrernte-angkentye.online/ecall/audio/ahele-irreme.mp3
ahelhe,https://arrernte-angkentye.online/ecall/audio/ahelhe.mp3
ahentye 1,https://arrernte-angkentye.online/ecall/audio/ahentye.mp3
ahentye 2,https://arrernte-angkentye.online/ecall/audio/ahentye.mp3
aherre,https://arrernte-angkentye.online/ecall/audio/aherre.mp3
aherte,https://arrernte-angkentye.online/ecall/audio/aherte.mp3
aheye-angkeme,https://arrernte-angkentye.online/ecall/audio/aheye-angkeme.mp3
ahinenhe,https://arrernte-angkentye.online/ecall/audio/ahinenhe.mp3
akakweme,https://arrernte-angkentye.online/ecall/audio/akakweme.mp3
akalkelhe-ileme,https://arrernte-angkentye.online/ecall/audio/akalkelhe-ileme.mp3
akaltye,https://arrernte-angkentye.online/ecall/audio/akaltye.mp3
akaltye-antheme,https://arrernte-angkentye.online/ecall/audio/akaltye-antheme.mp3
akaltyele-antheme,https://arrernte-angkentye.online/ecall/audio/akaltyele-antheme.mp3
akaltye-irreme,https://arrernte-angkentye.online/ecall/audio/akaltye-irreme.mp3
akangkeme,https://arrernte-angkentye.online/ecall/audio/akangkeme.mp3
akangkwe-irreme,https://arrernte-angkentye.online/ecall/audio/akangkwe-irreme.mp3
akaperte,https://arrernte-angkentye.online/ecall/audio/akaperte.mp3
akarelheme,https://arrernte-angkentye.online/ecall/audio/akarelheme.mp3
akarlkweme,https://arrernte-angkentye.online/ecall/audio/akarlkweme.mp3
akarre,https://arrernte-angkentye.online/ecall/audio/akarre.mp3
akeme 2,https://arrernte-angkentye.online/ecall/audio/akeme.mp3
akeme 1,https://arrernte-angkentye.online/ecall/audio/akeme.mp3
akeme-irreme,https://arrernte-angkentye.online/ecall/audio/akeme-irreme.mp3
akemelhe-ileme,https://arrernte-angkentye.online/ecall/audio/akemelhe-ileme.mp3
akerte,https://arrernte-angkentye.online/ecall/audio/akerte.mp3
​-akerte,https://arrernte-angkentye.online/ecall/audio/-akerte.mp3
akertne,https://arrernte-angkentye.online/ecall/audio/akertne.mp3
akethe,https://arrernte-angkentye.online/ecall/audio/akethe.mp3
akethe-akethe,https://arrernte-angkentye.online/ecall/audio/akethe-akethe.mp3
Akeyulerre,https://arrernte-angkentye.online/ecall/audio/akeyulerre.mp3
akiltye-ileme,https://arrernte-angkentye.online/ecall/audio/akiltye-ileme.mp3
akiwarre,https://arrernte-angkentye.online/ecall/audio/akiwarre.mp3
akngakeme,https://arrernte-angkentye.online/ecall/audio/akngakeme.mp3
akngarte-iweme,https://arrernte-angkentye.online/ecall/audio/akngarte-iweme.mp3
akngelheme,https://arrernte-angkentye.online/ecall/audio/akngelheme.mp3
akngeme,https://arrernte-angkentye.online/ecall/audio/akngeme.mp3
akngerre,https://arrernte-angkentye.online/ecall/audio/akngerre.mp3
akngetyeme,https://arrernte-angkentye.online/ecall/audio/akngetyeme.mp3
akngeye,https://arrernte-angkentye.online/ecall/audio/akngeye.mp3
akngwelye,https://arrernte-angkentye.online/ecall/audio/akngwelye.mp3
akngwelye artnwere,https://arrernte-angkentye.online/ecall/audio/akngwelyeartnwere.mp3
Akngwertnarre,https://arrernte-angkentye.online/ecall/audio/akngwertnarre.mp3
akunye,https://arrernte-angkentye.online/ecall/audio/akunye.mp3
akurne,https://arrernte-angkentye.online/ecall/audio/akurne.mp3
akurrknge,https://arrernte-angkentye.online/ecall/audio/akurrknge.mp3
akutne,https://arrernte-angkentye.online/ecall/audio/akutne.mp3
akwangenye,https://arrernte-angkentye.online/ecall/audio/akwangenye.mp3
akwe-arratye,https://arrernte-angkentye.online/ecall/audio/akwe-arratye.mp3
akweke,https://arrernte-angkentye.online/ecall/audio/akweke.mp3
akwele,https://arrernte-angkentye.online/ecall/audio/akwele.mp3
akwerneme,https://arrernte-angkentye.online/ecall/audio/akwerneme.mp3
akwerrke,https://arrernte-angkentye.online/ecall/audio/akwerrke.mp3
akwete,https://arrernte-angkentye.online/ecall/audio/akwete.mp3
akwetethe,https://arrernte-angkentye.online/ecall/audio/akwetethe.mp3
akwetethenhe,https://arrernte-angkentye.online/ecall/audio/akwetethenhe.mp3
akwintye,https://arrernte-angkentye.online/ecall/audio/akwintye.mp3
akwirreme,https://arrernte-angkentye.online/ecall/audio/akwirreme.mp3
alakenhe,https://arrernte-angkentye.online/ecall/audio/alakenhe.mp3
alangkwe,https://arrernte-angkentye.online/ecall/audio/alangkwe.mp3
alarte,https://arrernte-angkentye.online/ecall/audio/alarte.mp3
alaye,https://arrernte-angkentye.online/ecall/audio/alaye.mp3
Alaye!,https://arrernte-angkentye.online/ecall/audio/alaye.mp3
aleme,https://arrernte-angkentye.online/ecall/audio/aleme.mp3
alengke-iwelheme,https://arrernte-angkentye.online/ecall/audio/alengke-iwelheme.mp3
alengke-iweme,https://arrernte-angkentye.online/ecall/audio/alengke-iweme.mp3
alenye,https://arrernte-angkentye.online/ecall/audio/alenye.mp3
alepe,https://arrernte-angkentye.online/ecall/audio/alepe.mp3
alethange,https://arrernte-angkentye.online/ecall/audio/alethange.mp3
alewatyerre,https://arrernte-angkentye.online/ecall/audio/alewatyerre.mp3
alhampwe,https://arrernte-angkentye.online/ecall/audio/alhampwe.mp3
alharrkentye,https://arrernte-angkentye.online/ecall/audio/alharrkentye.mp3
alhe,https://arrernte-angkentye.online/ecall/audio/alhe.mp3
Alhekulyele,https://arrernte-angkentye.online/ecall/audio/alhekulyele.mp3
alheme,https://arrernte-angkentye.online/ecall/audio/alheme.mp3
alherreme,https://arrernte-angkentye.online/ecall/audio/alherreme.mp3
alhewelheme,https://arrernte-angkentye.online/ecall/audio/alhewelheme.mp3
alheweme,https://arrernte-angkentye.online/ecall/audio/alheweme.mp3
alhwarrpe,https://arrernte-angkentye.online/ecall/audio/alhwarrpe.mp3
alhwe,https://arrernte-angkentye.online/ecall/audio/alhwe.mp3
alhwenge,https://arrernte-angkentye.online/ecall/audio/alhwenge.mp3
alkarle,https://arrernte-angkentye.online/ecall/audio/alkarle.mp3
alkere,https://arrernte-angkentye.online/ecall/audio/alkere.mp3
alkereke-irreme,https://arrernte-angkentye.online/ecall/audio/alkereke-irreme.mp3
alkerele alheme,https://arrernte-angkentye.online/ecall/audio/alkerelealheme.mp3
alkngarlpe,https://arrernte-angkentye.online/ecall/audio/alkngarlpe.mp3
alkngarnte,https://arrernte-angkentye.online/ecall/audio/alkngarnte.mp3
alkngerurrke,https://arrernte-angkentye.online/ecall/audio/alkngerurrke.mp3
alknge,https://arrernte-angkentye.online/ecall/audio/alknge.mp3
alknge atherrke,https://arrernte-angkentye.online/ecall/audio/alkngeatherrke.mp3
alknge atherrke-atherrke,https://arrernte-angkentye.online/ecall/audio/alkngeatherrke-atherrke.mp3
alknge kwarte,https://arrernte-angkentye.online/ecall/audio/alkngekwarte.mp3
alknge-irlpelhe,https://arrernte-angkentye.online/ecall/audio/alknge-irlpelhe.mp3
alkngenthe,https://arrernte-angkentye.online/ecall/audio/alkngenthe.mp3
alknginere,https://arrernte-angkentye.online/ecall/audio/alknginere.mp3
alkngultye,https://arrernte-angkentye.online/ecall/audio/alkngultye.mp3
alknguntye,https://arrernte-angkentye.online/ecall/audio/alknguntye.mp3
alkngwe,https://arrernte-angkentye.online/ecall/audio/alkngwe.mp3
alkngwirreme,https://arrernte-angkentye.online/ecall/audio/alkngwirreme.mp3
alkwerte,https://arrernte-angkentye.online/ecall/audio/alkwerte.mp3
alpeme,https://arrernte-angkentye.online/ecall/audio/alpeme.mp3
alperrantyeye,https://arrernte-angkentye.online/ecall/audio/alperrantyeye.mp3
alpmanthe,https://arrernte-angkentye.online/ecall/audio/alpmanthe.mp3
alte,https://arrernte-angkentye.online/ecall/audio/alte.mp3
althelheme,https://arrernte-angkentye.online/ecall/audio/althelheme.mp3
altheme,https://arrernte-angkentye.online/ecall/audio/altheme.mp3
alturle,https://arrernte-angkentye.online/ecall/audio/alturle.mp3
altyele,https://arrernte-angkentye.online/ecall/audio/altyele.mp3
altyerre,https://arrernte-angkentye.online/ecall/audio/altyerre.mp3
altyerre areme,https://arrernte-angkentye.online/ecall/audio/altyerreareme.mp3
Altyerrenge,https://arrernte-angkentye.online/ecall/audio/altyerrenge.mp3
altyiweme,https://arrernte-angkentye.online/ecall/audio/altyiweme.mp3
altywere,https://arrernte-angkentye.online/ecall/audio/altywere.mp3
altywere-ileme,https://arrernte-angkentye.online/ecall/audio/altywere-ileme.mp3
alwerneme,https://arrernte-angkentye.online/ecall/audio/alwerneme.mp3
alye,https://arrernte-angkentye.online/ecall/audio/alye.mp3
alyekwe,https://arrernte-angkentye.online/ecall/audio/alyekwe.mp3
alyelheme,https://arrernte-angkentye.online/ecall/audio/alyelheme.mp3
alyeme,https://arrernte-angkentye.online/ecall/audio/alyeme.mp3
alyerneme,https://arrernte-angkentye.online/ecall/audio/alyerneme.mp3
alyweke,https://arrernte-angkentye.online/ecall/audio/alyweke.mp3
amake,https://arrernte-angkentye.online/ecall/audio/amake.mp3
amenge,https://arrernte-angkentye.online/ecall/audio/amenge.mp3
Amengkwerne,https://arrernte-angkentye.online/ecall/audio/amengkwerne.mp3
amirre,https://arrernte-angkentye.online/ecall/audio/amirre.mp3
amiwarre,https://arrernte-angkentye.online/ecall/audio/amiwarre.mp3
ampatye,https://arrernte-angkentye.online/ecall/audio/ampatye.mp3
ampe,https://arrernte-angkentye.online/ecall/audio/ampe.mp3
ampe marle,https://arrernte-angkentye.online/ecall/audio/ampemarle.mp3
ampe urreye,https://arrernte-angkentye.online/ecall/audio/ampeurreye.mp3
ampeke-aneme,https://arrernte-angkentye.online/ecall/audio/ampeke-aneme.mp3
ampeme,https://arrernte-angkentye.online/ecall/audio/ampeme.mp3
ampenye,https://arrernte-angkentye.online/ecall/audio/ampenye.mp3
ampere,https://arrernte-angkentye.online/ecall/audio/ampere.mp3
Ampetyane,https://arrernte-angkentye.online/ecall/audio/ampetyane.mp3
ampwe,https://arrernte-angkentye.online/ecall/audio/ampwe.mp3
amulte,https://arrernte-angkentye.online/ecall/audio/amulte.mp3
aname-irreme,https://arrernte-angkentye.online/ecall/audio/aname-irreme.mp3
anatye,https://arrernte-angkentye.online/ecall/audio/anatye.mp3
ane,https://arrernte-angkentye.online/ecall/audio/ane.mp3
aneme,https://arrernte-angkentye.online/ecall/audio/aneme.mp3
anepe-aneme,https://arrernte-angkentye.online/ecall/audio/anepe-aneme.mp3
anewe,https://arrernte-angkentye.online/ecall/audio/anewe.mp3
anewe-akeme,https://arrernte-angkentye.online/ecall/audio/anewe-akeme.mp3
Angale,https://arrernte-angkentye.online/ecall/audio/angale.mp3
angayakwe,https://arrernte-angkentye.online/ecall/audio/angayakwe.mp3
angeme,https://arrernte-angkentye.online/ecall/audio/angeme.mp3
angente,https://arrernte-angkentye.online/ecall/audio/angente.mp3
angepe,https://arrernte-angkentye.online/ecall/audio/angepe.mp3
angerneme,https://arrernte-angkentye.online/ecall/audio/angerneme.mp3
angkeme,https://arrernte-angkentye.online/ecall/audio/angkeme.mp3
angkentye,https://arrernte-angkentye.online/ecall/audio/angkentye.mp3
angkethakwe,https://arrernte-angkentye.online/ecall/audio/angkethakwe.mp3
angkulye,https://arrernte-angkentye.online/ecall/audio/angkulye.mp3
angkwene,https://arrernte-angkentye.online/ecall/audio/angkwene.mp3
angkwere,https://arrernte-angkentye.online/ecall/audio/angkwere.mp3
angwenhe?,https://arrernte-angkentye.online/ecall/audio/angwenhe.mp3
angwenhe-kenhe?,https://arrernte-angkentye.online/ecall/audio/angwenhe-kenhe.mp3
angwerre,https://arrernte-angkentye.online/ecall/audio/angwerre.mp3
angwerre-angwerre,https://arrernte-angkentye.online/ecall/audio/angwerre-angwerre.mp3
anheme,https://arrernte-angkentye.online/ecall/audio/anheme.mp3
anherre,https://arrernte-angkentye.online/ecall/audio/anherre.mp3
ankele,https://arrernte-angkentye.online/ecall/audio/ankele.mp3
ankere,https://arrernte-angkentye.online/ecall/audio/ankere.mp3
ankerre,https://arrernte-angkentye.online/ecall/audio/ankerre.mp3
Ankerre-Ankerre,https://arrernte-angkentye.online/ecall/audio/ankerre-ankerre.mp3
ankerte,https://arrernte-angkentye.online/ecall/audio/ankerte.mp3
ankwe,https://arrernte-angkentye.online/ecall/audio/ankwe.mp3
ankwe-inteme,https://arrernte-angkentye.online/ecall/audio/ankwe-inteme.mp3
annge,https://arrernte-angkentye.online/ecall/audio/annge.mp3
anngwerre,https://arrernte-angkentye.online/ecall/audio/anngwerre.mp3
anngwerre-anngwerre,https://arrernte-angkentye.online/ecall/audio/anngwerre-anngwerre.mp3
anpeme,https://arrernte-angkentye.online/ecall/audio/anpeme.mp3
anpere,https://arrernte-angkentye.online/ecall/audio/anpere.mp3
anpere alheme,https://arrernte-angkentye.online/ecall/audio/anperealheme.mp3
anperneme,https://arrernte-angkentye.online/ecall/audio/anperneme.mp3
anpernirreme,https://arrernte-angkentye.online/ecall/audio/anpernirreme.mp3
anpernirrentye,https://arrernte-angkentye.online/ecall/audio/anpernirrentye.mp3
antangkeme,https://arrernte-angkentye.online/ecall/audio/antangkeme.mp3
ante,https://arrernte-angkentye.online/ecall/audio/ante.mp3
​-ante,https://arrernte-angkentye.online/ecall/audio/-ante.mp3
anteke,https://arrernte-angkentye.online/ecall/audio/anteke.mp3
antekerre,https://arrernte-angkentye.online/ecall/audio/antekerre.mp3
anteme,https://arrernte-angkentye.online/ecall/audio/anteme.mp3
antenhe,https://arrernte-angkentye.online/ecall/audio/antenhe.mp3
antere,https://arrernte-angkentye.online/ecall/audio/antere.mp3
antethe,https://arrernte-angkentye.online/ecall/audio/antethe.mp3
antewe-irreme,https://arrernte-angkentye.online/ecall/audio/antewe-irreme.mp3
anteweke-antewe-irreme,https://arrernte-angkentye.online/ecall/audio/anteweke-antewe-irreme.mp3
anteweke-anteweke-irreme,https://arrernte-angkentye.online/ecall/audio/anteweke-anteweke-irreme.mp3
Anthelke Ulpaye,https://arrernte-angkentye.online/ecall/audio/anthelkeulpaye.mp3
antheme,https://arrernte-angkentye.online/ecall/audio/antheme.mp3
anthepe,https://arrernte-angkentye.online/ecall/audio/anthepe.mp3
Anthepe,https://arrernte-angkentye.online/ecall/audio/anthepe.mp3
anthurre,https://arrernte-angkentye.online/ecall/audio/anthurre.mp3
anthwerrke,https://arrernte-angkentye.online/ecall/audio/anthwerrke.mp3
Anthwerrke,https://arrernte-angkentye.online/ecall/audio/anthwerrke.mp3
antyeme,https://arrernte-angkentye.online/ecall/audio/antyeme.mp3
antyenye,https://arrernte-angkentye.online/ecall/audio/antyenye.mp3
antyerrke,https://arrernte-angkentye.online/ecall/audio/antyerrke.mp3
antyetyerre,https://arrernte-angkentye.online/ecall/audio/antyetyerre.mp3
antyeye,https://arrernte-angkentye.online/ecall/audio/antyeye.mp3
antyipere,https://arrernte-angkentye.online/ecall/audio/antyipere.mp3
antywe,https://arrernte-angkentye.online/ecall/audio/antywe.mp3
antyweme,https://arrernte-angkentye.online/ecall/audio/antyweme.mp3
anwerne,https://arrernte-angkentye.online/ecall/audio/anwerne.mp3
anwernenhe,https://arrernte-angkentye.online/ecall/audio/anwernenhe.mp3
anyente,https://arrernte-angkentye.online/ecall/audio/anyente.mp3
apaneme,https://arrernte-angkentye.online/ecall/audio/apaneme.mp3
aparlpe-ileme,https://arrernte-angkentye.online/ecall/audio/aparlpe-ileme.mp3
aparlpe-irreme,https://arrernte-angkentye.online/ecall/audio/aparlpe-irreme.mp3
aparre,https://arrernte-angkentye.online/ecall/audio/aparre.mp3
apaye-uthneme,https://arrernte-angkentye.online/ecall/audio/apaye-uthneme.mp3
apeke,https://arrernte-angkentye.online/ecall/audio/apeke.mp3
apekeme,https://arrernte-angkentye.online/ecall/audio/apekeme.mp3
apele,https://arrernte-angkentye.online/ecall/audio/apele.mp3
apelkere,https://arrernte-angkentye.online/ecall/audio/apelkere.mp3
apenteme,https://arrernte-angkentye.online/ecall/audio/apenteme.mp3
aperaltye,https://arrernte-angkentye.online/ecall/audio/aperaltye.mp3
apere,https://arrernte-angkentye.online/ecall/audio/apere.mp3
Apere Alwerrknge,https://arrernte-angkentye.online/ecall/audio/aperealwerrknge.mp3
aperle,https://arrernte-angkentye.online/ecall/audio/aperle.mp3
aperre,https://arrernte-angkentye.online/ecall/audio/aperre.mp3
aperrke,https://arrernte-angkentye.online/ecall/audio/aperrke.mp3
aperreme,https://arrernte-angkentye.online/ecall/audio/aperreme.mp3
aperteme,https://arrernte-angkentye.online/ecall/audio/aperteme.mp3
apethe,https://arrernte-angkentye.online/ecall/audio/apethe.mp3
apetye-alpeme,https://arrernte-angkentye.online/ecall/audio/apetye-alpeme.mp3
apetyeme,https://arrernte-angkentye.online/ecall/audio/apetyeme.mp3
apmere,https://arrernte-angkentye.online/ecall/audio/apmere.mp3
apmwe,https://arrernte-angkentye.online/ecall/audio/apmwe.mp3
apmwerrke,https://arrernte-angkentye.online/ecall/audio/apmwerrke.mp3
apure,https://arrernte-angkentye.online/ecall/audio/apure.mp3
apure-irreme,https://arrernte-angkentye.online/ecall/audio/apure-irreme.mp3
apurrke,https://arrernte-angkentye.online/ecall/audio/apurrke.mp3
apurrke-irreme,https://arrernte-angkentye.online/ecall/audio/apurrke-irreme.mp3
apurte,https://arrernte-angkentye.online/ecall/audio/apurte.mp3
apwape,https://arrernte-angkentye.online/ecall/audio/apwape.mp3
apwapwe,https://arrernte-angkentye.online/ecall/audio/apwapwe.mp3
apwelantye,https://arrernte-angkentye.online/ecall/audio/apwelantye.mp3
apwerte,https://arrernte-angkentye.online/ecall/audio/apwerte.mp3
apweteke,https://arrernte-angkentye.online/ecall/audio/apweteke.mp3
arelhe,https://arrernte-angkentye.online/ecall/audio/arelhe.mp3
aremaye,https://arrernte-angkentye.online/ecall/audio/aremaye.mp3
areme,https://arrernte-angkentye.online/ecall/audio/areme.mp3
arenge,https://arrernte-angkentye.online/ecall/audio/arenge.mp3
​-arenye,https://arrernte-angkentye.online/ecall/audio/-arenye.mp3
arerre,https://arrernte-angkentye.online/ecall/audio/arerre.mp3
arerte,https://arrernte-angkentye.online/ecall/audio/arerte.mp3
arerte-arerte,https://arrernte-angkentye.online/ecall/audio/arerte-arerte.mp3
arethape,https://arrernte-angkentye.online/ecall/audio/arethape.mp3
aretharre,https://arrernte-angkentye.online/ecall/audio/aretharre.mp3
​-areye,https://arrernte-angkentye.online/ecall/audio/-areye.mp3
arlantye,https://arrernte-angkentye.online/ecall/audio/arlantye.mp3
arlarte,https://arrernte-angkentye.online/ecall/audio/arlarte.mp3
arlatyeye,https://arrernte-angkentye.online/ecall/audio/arlatyeye.mp3
arlenge,https://arrernte-angkentye.online/ecall/audio/arlenge.mp3
arlenye,https://arrernte-angkentye.online/ecall/audio/arlenye.mp3
arletye,https://arrernte-angkentye.online/ecall/audio/arletye.mp3
arlewarrere,https://arrernte-angkentye.online/ecall/audio/arlewarrere.mp3
arlewatyerre,https://arrernte-angkentye.online/ecall/audio/arlewatyerre.mp3
arleye,https://arrernte-angkentye.online/ecall/audio/arleye.mp3
​-arlke,https://arrernte-angkentye.online/ecall/audio/-arlke.mp3
arlkeme,https://arrernte-angkentye.online/ecall/audio/arlkeme.mp3
